"","AVERAGE","AVERAGE.1"
"1",0.00669520491027122,0
"2",-0.0122287949741714,0
"3",0.0149595984278895,0
"4",0.0102436118712565,-0.00131580267486195
"5",-0.0100183141196025,0.00657624225199018
"6",0.0115780013888311,-7.9637095070173e-05
"7",-0.00796423408243994,0.000886904685817225
"8",0.00210895971381664,0
"9",-0.0108149993092333,0
"10",0.00156009207075927,0
"11",0.00662581144072343,0
"12",-0.00415633189644478,0
"13",-0.00190413156421034,-0.000860215053763458
"14",0.0098555642541267,0
"15",-0.00534310368760851,0.00599571734475379
"16",0.00848027012842834,-0.00123711340206185
"17",-0.00796157962908603,0
"18",0.0172193633372746,0
"19",-0.00275700631660312,0
"20",-0.0157548291660201,0
"21",0.0181751395163478,0
"22",0.0117225608038123,0
"23",-0.0146203113653389,0
"24",-0.00181629027751622,0.00433839498214295
"25",0.008404314984345,0
"26",0.00218525794862676,0
"27",-0.000280532071680817,0
"28",0.00614460210826442,0
"29",0.00829706662026173,0
"30",-0.00486877829857999,0
"31",0.00632277017196035,0
"32",-0.0128242058878319,0.00796964705882355
"33",-0.00499371451265154,0
"34",0.0119207261252635,0
"35",-0.0201468346718289,0
"36",-0.0120663352202624,0
"37",-0.0044704362233851,0
"38",0.00428871291309925,0.00132449448123619
"39",0.0163679936400305,0.00176990265486725
"40",0.0255011728780354,0.00175439481378925
"41",-0.00474724782512577,0
"42",-0.000297707264250802,0.000779956903258361
"43",-0.0147218788001133,0.00266078947497963
"44",0.00422662421212632,-0.00264318050030043
"45",-0.00623634040215901,-0.0113716594204085
"46",0.00389081554385113,-0.00861060174242105
"47",0.015402240409749,-0.0480359103446708
"48",0.0153623538160149,-0.00994272940329783
"49",-0.0104965506760283,0.0233276849188043
"50",-0.00995338721523995,-0.00527936722745053
"51",0.0223498017266738,-0.00364527856483661
"52",0.00995958975776035,-0.00748582880516975
"53",-0.00224412234301463,-0.0055408316978276
"54",-0.00510691365781273,0.00745166071239465
"55",0.0163004451638957,-0.00325145080908111
"56",-0.00614944863351268,-0.00645195769308158
"57",0.00555527855993008,-0.0107562911194236
"58",0.0203771877007871,-0.0298881113737921
"59",-0.00024421444283218,0.000268138839509646
"60",-0.000818815531986306,-0.0181213954420515
"61",0.0162957980560859,-0.0126001664305974
"62",-0.00497335853284466,-0.00394282598725577
"63",-0.00520342203742576,-0.013624140646844
"64",0.00905443451586962,-0.0216075417429351
"65",0.00288528041532332,0.00261437908496731
"66",0.00905796955523874,-0.0209352063356264
"67",-0.0078169754538461,0.00658155581245561
"68",0.00779238743531396,0.016847240730808
"69",-0.0147220923414246,0.0175699361668894
"70",0.00992562357949693,0.00564101538461541
"71",-0.00207202598929721,0.00151706451370579
"72",-0.0223933944735559,0
"73",0.0294704605742289,0.0102564102564103
"74",0.0135418902744751,0
"75",-0.000953828280456226,0.000751883444513468
"76",0.00323664450018792,0
"77",0.0123836545274723,-0.00112359171821752
"78",-0.00503091195989234,0
"79",-0.0040956816553515,0
"80",0.00311135430723575,0
"81",-0.00274477380788176,0
"82",0.0144435191801497,0
"83",0.0016051287356446,0
"84",-0.00994211372092977,0
"85",0.00223117097837668,0.00341463414634147
"86",0.0019239673523749,-0.00239808153477219
"87",-0.00196824867171324,0
"88",-0.000562694693200605,-0.00194174757281558
"89",-0.0128760364269446,-0.000975590243902413
"90",-0.000424556072507087,0
"91",-0.00807261593671846,-0.000997530420453474
"92",-0.000876286137024485,-0.000375776896915969
"93",0.000715577885093643,0.00245905229069236
"94",-0.00754712101787953,-0.00709655982880983
"95",0.00295349152586934,0.00803749876123616
"96",-0.000472012987035697,5.47056363838117e-05
"97",0.0120838062519754,0.0146671464362308
"98",-0.0105306924990402,-0.00920223427499973
"99",-0.00152717174965125,-0.00353279904702908
"100",-0.0150272992560782,0.00403359999999999
"101",0.00384971835704537,0.0060431106118966
"102",-0.0134916211495855,-0.000753280631008702
"103",0.00859285231937503,-0.00754716981132075
"104",0.02166634680762,0.00253792116121643
"105",0.00892982889954026,0.00406617335260329
"106",-0.0157574329364194,-0.00590242148021174
"107",-0.00460136233291313,0.00451120505706997
"108",0.00146379159580716,-0.0040816529571007
"109",-0.00938422289881908,0.0010309536348184
"110",0.00320624086870154,-0.00205656033200925
"111",0.00783565759165774,0.00826872330054975
"112",0.00365060988891588,-0.00126582278481013
"113",0.000508639701721481,0
"114",-0.0259191037476746,0
"115",0.00624150523491223,0
"116",0.000493179762874929,0.00277568948594928
"117",-0.00810555485417264,-0.00225989817740688
"118",0.00729142519218549,0.00734625027032534
"119",-0.00375621729355293,0
"120",-0.000935615064034367,-0.00312018139883299
"121",0.00154532891532597,-0.00186693083436311
"122",0.00452580648938288,-0.0103063752245524
"123",0.0142727307680748,-0.00410217661579129
"124",-0.00796262788855913,-0.000810060821495151
"125",0.00592391381045776,-0.00437427607438594
"126",-0.000455330684300348,-0.00318593298777365
