"Index","3557.TW.Open","3557.TW.High","3557.TW.Low","3557.TW.Close","3557.TW.Volume","3557.TW.Adjusted"
"2008-02-27",60.6814,68.423599,60.6814,65.0756,3339604,64.25444
"2008-02-29",64.552498,74.700996,64.3433,72.190002,2711636,71.279068
"2008-03-03",70.620697,74.805603,70.097504,74.282501,1637304,73.345161
"2008-03-04",75.328697,78.990501,74.282501,74.805603,1320931,73.861656
"2008-03-05",74.805603,75.328697,70.306801,71.143799,1207189,70.246071
"2008-03-06",73.027,76.061096,72.713097,76.061096,1509226,75.101311
"2008-03-07",75.224098,81.292198,74.282501,81.292198,1533121,80.266411
"2008-03-10",86.941902,86.941902,83.698502,86.941902,1730974,85.844826
"2008-03-11",84.221703,84.221703,80.873703,83.070801,1479596,82.022568
"2008-03-12",83.698502,88.825104,83.593903,87.778801,2494667,86.671158
"2008-03-13",86.837196,86.837196,81.8153,84.116997,1332401,83.055557
"2008-03-14",84.744797,85.791,78.676598,80.664497,1002646,79.646622
"2008-03-17",78.571999,78.571999,75.224098,75.224098,890816,74.274879
"2008-03-18",75.224098,76.165703,73.236198,76.061096,542901,75.101311
"2008-03-19",78.4674,79.618202,76.374901,77.525803,778986,76.547539
"2008-03-20",76.374901,77.316498,73.863998,75.328697,438717,74.378151
"2008-03-21",76.898003,76.898003,74.805603,75.851799,540033,74.894653
"2008-03-24",79.932098,80.036697,73.863998,75.119499,720682,74.1716
"2008-03-25",75.328697,76.898003,75.119499,75.851799,495110,74.894653
"2008-03-26",76.061096,76.270302,72.190002,74.700996,670024,73.758377
"2008-03-27",74.073196,74.073196,73.027,73.236198,355562,72.312065
"2008-03-28",74.805603,78.362801,74.282501,78.362801,575398,77.373978
"2008-03-31",83.1754,83.1754,80.664497,81.083,1372545,80.059853
"2008-04-01",81.606102,83.907799,79.199799,79.827499,1026541,78.82019
"2008-04-02",81.606102,81.606102,79.827499,80.141403,639438,79.130135
"2008-04-03",80.559898,83.593903,79.513603,82.129204,712079,81.09285
"2008-04-07",82.129204,82.861603,81.083,81.919998,584956,80.886284
"2008-04-08",82.652298,85.267899,81.606102,84.221703,1027497,83.158943
"2008-04-09",84.116997,84.954002,82.756897,82.966202,483640,81.919289
"2008-04-10",82.652298,83.1754,81.606102,83.070801,588780,82.022568
"2008-04-11",83.280098,85.372498,82.547699,83.489304,642305,82.435791
"2008-04-14",81.8153,82.547699,79.513603,81.292198,719726,80.266411
"2008-04-15",81.083,81.083,78.781303,78.781303,740754,77.787193
"2008-04-16",78.781303,79.932098,78.4674,79.827499,413866,78.82019
"2008-04-17",79.827499,81.083,79.827499,80.4552,458789,79.439964
"2008-04-18",81.083,81.083,79.304398,79.618202,247555,78.613533
"2008-04-21",80.769096,82.861603,80.769096,82.547699,993088,81.506065
"2008-04-22",82.652298,83.489304,81.8153,82.4431,516138,81.402786
"2008-04-23",82.4431,83.593903,81.8153,82.129204,517094,81.09285
"2008-04-24",82.338402,82.652298,80.873703,81.083,409087,80.059853
"2008-04-25",81.8153,85.1633,81.606102,83.698502,1048525,82.642349
"2008-04-28",84.744797,87.046501,84.221703,85.791,1341003,84.708435
"2008-04-29",86.314102,86.314102,83.489304,84.221703,813395,83.158943
"2008-04-30",84.744797,89.975899,83.1754,88.092697,1417468,86.981094
"2008-05-02",86.837196,86.837196,82.024597,82.024597,910888,80.989563
"2008-05-05",76.374901,76.374901,76.374901,76.374901,355562,75.411156
"2008-05-06",71.039101,74.073196,71.039101,72.817703,1814129,71.898849
"2008-05-07",73.027,75.328697,72.294601,74.282501,901330,73.345161
"2008-05-08",74.282501,74.282501,71.876099,72.608498,461657,71.692284
"2008-05-09",73.759399,73.759399,67.586601,68.005096,1592381,67.146965
