"","Ret","KDtradeRet"
"29",-0.00425531914893618,0
"30",0.0149572649572651,0
"31",-0.00631578947368416,0
"32",-0.00423728813559332,0
"33",0.00851068085106377,0
"34",-0.0189873831650893,0
"35",-0.00645161290322571,0
"36",-0.0043290043290044,0
"37",-0.0130434347826087,0
"38",-0.0044053302024083,0
"39",0.00884951327433625,0.00884951327433625
"40",0.00877197406894625,0.00877197406894625
"41",-0.00434782608695661,0
"42",-0.015283886462882,0
"43",0.00665197368744908,0.0133039473748982
"44",-0.0132159025015022,-0.0132159025015022
"45",-0.0245535714285713,-0.0491071428571426
"46",-0.00915331807780329,-0.0183066361556066
"47",-0.0184757505773672,-0.0369515011547343
"48",0.0376470117647059,0.0752940235294117
"49",0,0
"50",-0.0136053974424216,0
"51",0.00689655172413794,0
"52",0.00684926940639285,0
"53",-0.0272107948848432,0
"54",-0.0303031221303907,0
"55",0.0144231256934195,0
"56",-0.0331753554502371,0
"57",0.00735289215686286,0.00735289215686286
"58",0.00973240923272067,0.0194648184654413
"59",0,0
"60",-0.036144578313253,-0.072289156626506
"61",0.0225000500000001,0.0450001000000002
"62",-0.00244503655525508,-0.00489007311051015
"63",0,0
"64",-0.00980387254901949,0
"65",0.00990094010391385,0
"66",0.0147059313725491,0
"67",-0.0265700953347781,0
"68",0.0471464019851118,0
"69",0.0308056872037914,0
"70",0.00229880459770104,0
"71",-0.0229357808686138,0
"72",-0.016431831757363,0
"73",0.00238658699825356,0
"74",0.0214286190476192,0
"75",-0.00699309990708163,0
"76",-0.016431831757363,0
"77",0.00238658699825356,0
"78",-0.00476190476190486,0
"79",0.0119617224880382,0
"80",-0.0118203309692672,0
"81",0,0
"82",0,0
"83",-0.0143540669856458,0
"84",-0.00485436893203894,0
"85",0.0170731707317073,0.0170731707317073
"86",-0.0119904076738609,-0.0119904076738609
"87",0,0
"88",-0.00485436893203894,-0.00970873786407789
"89",-0.00243897560975603,-0.00487795121951207
"90",0,0
"91",-0.00489002421075668,-0.00978004842151337
"92",-0.00491400491400495,-0.00982800982800991
"93",0,0
"94",-0.00493827160493832,-0.00987654320987663
"95",0.00992555831265518,0.0198511166253104
"96",-0.014742063882064,-0.029484127764128
"97",0.0149626441377879,0.0299252882755758
"98",0,0
"99",0.0171990663390662,0
"100",-0.0434783553875191,0
"101",-0.0227272233700617,0
"102",-0.0103359173126616,0
"103",0,0
"104",-0.00783289817232369,-0.00783289817232369
"105",0,0
"106",-0.0289473157894736,-0.0289473157894736
"107",0.0352302961934798,0.0352302961934798
"108",-0.0052356020942409,0
"109",-0.0105263684210527,0
"110",0,0
"111",-0.00265952141805958,0
"112",0.0213333333333332,0
"113",-0.0130548302872062,0
"114",-0.0714286243386243,0
"115",-0.00284894603127894,0
"116",0.0114286285714287,0.0114286285714287
"117",-0.0112994908870344,-0.0112994908870344
"118",0.0171428,0.0342856
"119",0,0
"120",-0.0084269105857816,-0.0168538211715632
"121",0.00283291784702566,0.00566583569405132
"122",-0.0169492080819658,-0.0338984161639315
"123",0,0
"124",0.00574712643678166,0.0114942528735633
"125",-0.00571428571428578,-0.0114285714285716
"126",-0.00862068965517238,-0.0172413793103448
"127",-0.0289855072463768,-0.0579710144927537
"128",-0.00895522388059689,-0.0179104477611938
"129",0.0120481325301203,0.0240962650602405
"130",-0.0148809532667235,-0.0148809532667235
"131",-0.00604217559167219,-0.0120843511833444
"132",0.0121579931818847,0.0243159863637694
"133",-0.015015015015015,-0.03003003003003
"134",0.0152439024390243,0.0304878048780486
"135",-0.00300300300300282,-0.00300300300300282
"136",-0.00903608433734948,-0.00903608433734948
"137",0.00607890540553768,0
"138",0.00906356550233034,0
"139",-0.00299407167700183,0
"140",-0.00300300300300282,0
"141",-0.00301210843373501,0
"142",0,0
"143",0.00302120864176492,0
"144",-0.0120481927710845,0
"145",0.027439024390244,0
"146",-0.00296741839762626,0
"147",-0.0267856563562889,0
"148",-0.00917425076452605,0
"149",0.0123456165218754,0
"150",-0.0792682926829268,0
"151",0.0264900662251655,0
"152",-0.0580645161290323,0
"153",0.0102739726027397,0.0102739726027397
"154",-0.0271186440677966,-0.0271186440677966
"155",-0.0313588850174216,-0.0313588850174216
"156",-0.0431654676258992,-0.0863309352517985
"157",0.0338345864661653,0.0676691729323307
"158",0.00363636363636366,0.00727272727272732
"159",0.0144927536231882,0.0289855072463765
"160",0.0178571428571428,0.0357142857142856
"161",0.024561403508772,0.049122807017544
"162",-0.00342465753424648,-0.00342465753424648
"163",-0.0240549828178696,0
"164",0.00704225352112675,0
"165",0.00699300699300687,0
"166",-0.0243055555555556,0
"167",-0.00355871886121006,0
"168",-0.0107142857142858,0
"169",-0.00361010830324904,0
"170",-0.00724637681159435,0
"171",0.0072992700729928,0.0072992700729928
"172",0.00724637681159424,0.00724637681159424
"173",0,0
"174",0.0071942446043165,0
"175",0,0
"176",-0.0392857142857144,0
"177",-0.0966542750929368,0
"178",-0.0411522633744856,0
"179",-0.0987124463519313,-0.0987124463519313
"180",-0.1,-0.1
"181",-0.093121693121693,-0.186243386243386
"182",-0.0991831971995333,-0.198366394399067
"183",-0.0479274611398964,-0.0958549222797929
"184",-0.0993197278911564,-0.198639455782313
"185",0,0
"186",-0.0996978851963747,-0.199395770392749
"187",0.0906040268456376,0.181208053691275
"188",0.0553846153846154,0.110769230769231
"189",0.0568513119533527,0.113702623906705
"190",-0.0096551724137931,-0.0193103448275862
"191",-0.0250696378830083,-0.0250696378830083
